filename,true_category
email_1.html,Account Management
email_2.html,Insurance Claims
email_3.html,Account Management
email_4.html,Investment Advisory
email_5.html,Investment Advisory
email_6.html,Account Management
email_7.html,Investment Advisory
email_8.html,Account Management
email_9.html,Account Management
email_10.html,Other
email_11.html,Other
email_12.html,Insurance Claims
email_13.html,Investment Advisory
email_14.html,Account Management
email_15.html,Other
email_16.html,Investment Advisory
email_17.html,Insurance Claims
email_18.html,Investment Advisory
email_19.html,Account Management
email_20.html,Other
email_21.html,Insurance Claims
email_22.html,Account Management
email_23.html,Account Management
email_24.html,Loan Processing
email_25.html,Insurance Claims
email_26.html,Other
email_27.html,Account Management
email_28.html,Account Management
email_29.html,Account Management
email_30.html,Insurance Claims
email_31.html,Investment Advisory
email_32.html,Investment Advisory
email_33.html,Investment Advisory
email_34.html,Loan Processing
email_35.html,Other
email_36.html,Loan Processing
email_37.html,Investment Advisory
email_38.html,Insurance Claims
email_39.html,Investment Advisory
email_40.html,Investment Advisory
email_41.html,Loan Processing
email_42.html,Loan Processing
email_43.html,Loan Processing
email_44.html,Account Management
